#    Sample    030           044           070           100-1a        100-1b        100-2a        100-2b        100-3a        100-3b        100-4a        100-4b        143           217-2         217-3         217-5a        217-5b        217-6         217-7a        217-7b        217-8         353-1         353-2         353-3         353-4         353-5         353-6         545-1         545-2         545-4         857-1         857-2         857-3         0.4-Haslam    022-WMAP_K    030-WMAP_Ka   040-WMAP_Q1   040-WMAP_Q2   060-WMAP_V1   060-WMAP_V2   090-WMAP_W1   090-WMAP_W2   090-WMAP_W3   090-WMAP_W4   
      14      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      15      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      16      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      17      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      18      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      19      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      20      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      21      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      22      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      23      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      24      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      25      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      26      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      27      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      28      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      29      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      30      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      31      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      32      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      33      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      34      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      35      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      36      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      37      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      38      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      39      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      40      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      41      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      42      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      43      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      44      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      45      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      46      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      47      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      48      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      49      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      50      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      51      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      52      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      53      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      54      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      55      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      56      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      57      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      58      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      59      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      60      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
      61      0.992671      0.999446      0.995844      0.998940      0.998984      0.998982      0.998937      0.999056      0.999079      0.998963      0.998964      1.000000      0.999786      0.999683      0.999751      0.999723      0.999896      0.999787      0.999767      0.999851      1.003444      1.003396      1.002964      1.003075      1.003184      1.002743      1.010681      1.010442      1.020556      1.050259      1.165521      1.082180      1.410546      0.998169      1.000481      1.000282      1.000367      1.000649      1.000652      1.000515      1.000446      1.000670      1.000964
